"priority","region","city","business","category","site_status","website_or_social","public_contact","evidence_url","problem_signal","confidence","offer_angle"
"P1","Primorje","Ulcinj","Hotel Mala Plaža","hotel/restoran","slab ili nezavršen sajt","https://hotelulcinj.com/","+382 67 587 687; mala.plaza@yahoo.com","https://hotelulcinj.com/","Na aktivnom sajtu su placeholder telefon 1800-1111-2222 i booking@website.com; demo vijesti iz 2020. pominju Miami i New York.","high","Ispravka reputacionog problema i više direktnih rezervacija kroz pravi booking tok."
"P1","Sjever","Bijelo Polje","Hotel Royal","hotel/restoran","nefunkcionalan ili izgubljen domen","https://hotelroyal.me/","+382 67 263 111","https://restaurantguru.com/Hotel-Royal-Bijelo-Polje","Domen tokom provjere nije davao hotelski sadržaj; javni direktorijumi i dalje vode aktivan objekat.","high","Vratiti kontrolu nad domenom i pretvoriti postojeću reputaciju u direktne rezervacije."
"P1","Sjever","Pljevlja","Hotel Delta","hotel/restoran","stari/nepouzdan sajt","http://hoteldelta-pv.com","+382 52 356 022; +382 67 884 904; hoteldeltapv@t-com.me","https://pljevlja.travel/2025/01/31/hotel-delta/","Turistička organizacija potvrđuje aktivan hotel, dok se stari HTTP domen nije normalno otvorio tokom provjere.","high","Mobilni sajt sa sobama, restoranom i direktnim upitom."
"P1","Centar","Podgorica","Sava Car","tehnički pregled/registracija","zastario/tehnički oštećen sajt","https://www.savacar.co.me/","+382 20 226 914; savacar@sava.co.me","https://www.savacar.co.me/","Vidljiv encoding kvar 'SVEÄŒANO'; posljednja novost je iz juna 2016.","high","Jasne lokacije i usluge, klik-za-poziv i online upit za registraciju."
"P1","Centar","Nikšić","Hotel Sindčel","hotel/restoran","veoma zastario sajt","https://sindcel.blogspot.com/","+382 40 213 655; sindcelnk@gmail.com","https://sindcel.blogspot.com/2009/04/hote-l-sindce-l-n-i-ksic-centa-r-gr-ada.html","Blogspot prezentacija iz 2009. sa razbijenim razmacima, starim linkovima i bez modernog booking toka.","medium-high","Savremena prezentacija tradicije hotela, soba i Scena 213 uz direktne rezervacije."
"P1","Sjever","Kolašin","Etno selo Breza / Braća Bošković","etno selo/restoran/smještaj","zvanični sajt nije pronađen nakon provjera","","+382 20 862 020; +382 68 004 710; batboskovic22@gmail.com","https://www.moja-djelatnost.me/restoran-domace-kuhinje-sa-smestajem-kolasin/braca-boskovic-doo/MM1BNlVo","Aktivan objekat sa 7 kućica, 2 apartmana, restoranom i salom, ali pronađen je samo direktorijumski profil.","high","Jedan sajt koji prodaje smještaj, hranu, konferencije i porodični boravak."
"P1","Primorje","Bečići/Budva","Sunset 2 Bečići","apartmani","zastario/tehnički slab sajt","https://sunset2becici.com/","+381 64 147 5819; sunset2becici@gmail.com","https://sunset2becici.com/","Na naslovnoj je vidljiv sirovi shortcode; turistički tekstovi su datirani 2015; jedinice prikazuju samo 'Ask for price'.","high","Višejezični direktni booking, aktuelne cijene i uklanjanje vidljivih tehničkih grešaka."
"P1","Sjever","Žabljak","Hotel Gorske Oči","hotel/apartmani/restoran","zvanični sajt nije pronađen nakon provjera","","+382 52 361 118; +382 67 289 209; hotelgorskeoci@t-com.me","https://www.moja-djelatnost.me/hotel-smestaj-apartmani-restoran-zabljak-crna-gora/hotel-gorske-oci/MM19aNch","Aktivan smještaj sa 7 apartmana i restoranom u centru Žabljaka, ali pronađen je samo direktorijumski profil.","medium-high","Sezonske ponude, apartmani i direktna rezervacija bez zavisnosti od platformi."
"P1","Centar","Podgorica","K-Dental","stomatološka ordinacija","zvanični sajt nije pronađen nakon provjera","https://www.instagram.com/kdental.me/","+382 67 203 722; ak.k.dental@gmail.com","https://www.moja-djelatnost.me/stomatoloska-ordinacija-podgorica-stari-aerodrom/MM1AIKOb","Aktivna ordinacija sa javnim uslugama i ocjenama, ali bez pronađenog sopstvenog domena i online zakazivanja.","medium-high","Stranice tretmana, dokaz povjerenja i zakazivanje prvog pregleda."
"P1","Centar","Podgorica","Aesthetic & Dental Studio Kovačević","stomatologija/estetika","zvanični sajt nije pronađen nakon provjera","","+382 69 100 553; adstudiokovacevic@gmail.com","https://www.moja-djelatnost.me/opsta-stomatologija-i-estetika-podgorica/aesthetic--dental-studio-kovacevic-zu/MM1CQ8a6","Javni poslovni listing postoji, ali nije pronađena centralna stranica za tretmane, rezultate i termine.","medium-high","Premium sajt za dentalne i estetske usluge sa jasnim putem do konsultacije."
